"ADULT_FLAG","GENRE","GENRE_COUNT"
"Adult","Drama",496
"Adult","Comedy",226
"Adult","Thriller",215
"Adult","Crime",199
"Adult","Action",181
"Adult","Horror",131
"Adult","Mystery",128
"Adult","Documentary",78
"Adult","Biography",75
"Adult","Romance",74
"Adult","Adventure",44
"Adult","Sci-Fi",41
"Adult","History",36
"Adult","Music",35
"Adult","Fantasy",30
"Adult","War",20
"Adult","Sport",14
"Adult","Western",10
"Adult","Animation",5
"Adult","Family",4
"Adult","Musical",2
"Adult","Reality-TV",1
"Non-Adult","Drama",351
"Non-Adult","Comedy",275
"Non-Adult","Adventure",171
"Non-Adult","Action",137
"Non-Adult","Romance",126
"Non-Adult","Documentary",118
"Non-Adult","Family",98
"Non-Adult","Animation",89
"Non-Adult","Biography",71
"Non-Adult","Thriller",52
"Non-Adult","Crime",51
"Non-Adult","Mystery",44
"Non-Adult","Horror",43
"Non-Adult","Fantasy",42
"Non-Adult","Sci-Fi",37
"Non-Adult","Sport",34
"Non-Adult","History",33
"Non-Adult","Music",25
"Non-Adult","Musical",13
"Non-Adult","War",8
"Non-Adult","Western",2
"Non-Adult","News",1
