"MOVIEID","TITLE","YEAR","ADULT_FLAG","IMDBRATINGS","ROTTENTOMATOESRATINGS"
"tt11378154","The App That Stole Christmas",2020,"Non-Adult",27,39
"tt11378264","Mucho Mucho Amor: The Legend of Walter Mercado",2020,"Non-Adult",73,58
"tt11388406","Horse Girl",2020,"Adult",60,72
"tt11388580","Miss Americana",2020,"Adult",74,90
"tt11390036","A Fall from Grace",2020,"Adult",59,60
"tt11394180","Dick Johnson Is Dead",2020,"Non-Adult",74,64
"tt11394184","The Fight",2020,"Non-Adult",68,58
"tt11394338","Giving Voice",2020,"Non-Adult",70,68
"tt11416746","Time",2020,"Non-Adult",68,73
"tt11426644","We Are Freestyle Love Supreme",2020,"Adult",70,64
"tt11454066","You Cannot Kill David Arquette",2020,"Adult",71,59
"tt11464826","The Social Dilemma",2020,"Non-Adult",76,93
"tt11576124","Rogue",2020,"Adult",42,57
"tt1158939","Never Grow Old",2019,"Adult",60,58
"tt11640412","#FriendButMarried 2",2020,"Non-Adult",68,47
"tt11642302","#cats_the_mewvie",2020,"Non-Adult",53,46
"tt11649910","Forgotten",2017,"Adult",80,70
"tt11651796","AK vs AK",2020,"Adult",69,60
"tt11656172","Hard Kill",2020,"Adult",31,53
"tt11681250","Godmothered",2020,"Non-Adult",61,63
"tt11690838","The Legend of Baron To'a",2020,"Adult",64,46
"tt11697484","The 2nd",2020,"Non-Adult",39,52
"tt11749980","Tarung Sarung",2020,"Non-Adult",59,46
"tt11792734","Leyla Everlasting",2020,"Adult",37,45
"tt11827806","So Much Love to Give",2020,"Non-Adult",53,47
"tt1183374","Pet",2016,"Adult",57,62
"tt11835236","Generasi 90an: Melankolia",2020,"Non-Adult",55,41
"tt11905462","Athlete A",2020,"Non-Adult",76,67
"tt11905962","Sputnik",2020,"Adult",64,70
"tt11906032","Picture a Scientist",2020,"Non-Adult",78,49
"tt11958344","A Whisker Away",2020,"Non-Adult",67,81
"tt11968072","A Stone in the Water",2019,"Adult",40,42
"tt11988512","One-Way to Tomorrow",2020,"Adult",56,53
"tt11990802","Don't Call Me Bigfoot",2020,"Non-Adult",56,43
"tt11994750","Made You Look: A True Story About Fake Art",2020,"Adult",70,57
"tt12036052","Elephant",2020,"Non-Adult",73,54
"tt12053202","Arendelle Castle Yule Log",2019,"Non-Adult",47,38
"tt1206885","Rambo: Last Blood",2019,"Adult",61,73
"tt12100044","In the Footsteps of Elephant",2020,"Non-Adult",71,45
"tt12108272","Close Encounters of the Fifth Kind",2020,"Non-Adult",61,57
"tt12116846","Pandemic",2020,"Adult",46,55
"tt1211837","Doctor Strange",2016,"Non-Adult",75,85
"tt12139700","Jungle Beat: The Movie",2020,"Non-Adult",55,51
"tt12187586","Father Soldier Son",2020,"Adult",73,53
"tt12215286","Dino Dana: The Movie",2020,"Non-Adult",51,45
"tt1226837","Beautiful Boy",2018,"Adult",74,87
"tt12282598","Intuition",2020,"Adult",56,50
"tt12298506","Black Box",2020,"Non-Adult",62,61
"tt1230168","Same Kind of Different as Me",2017,"Non-Adult",66,64
"tt12323842","Gina Brillon: The Floor Is Lava",2020,"Adult",64,43
"tt1235187","Where Hands Touch",2018,"Non-Adult",66,59
"tt12381488","Run",2020,"Non-Adult",46,74
"tt1239242","Frank and Cindy",2015,"Adult",60,50
"tt12393526","Bulbbul",2020,"Adult",66,63
"tt12517908","Aliens Stole My Body",2020,"Non-Adult",34,39
"tt12538822","All In: The Fight for Democracy",2020,"Non-Adult",69,74
"tt12588398","We Are One",2020,"Adult",57,36
"tt12607910","Black Is King",2020,"Non-Adult",60,79
"tt1266036","Valley Girl",2020,"Non-Adult",55,57
"tt12660966","Lost on Everest",2020,"Non-Adult",66,48
"tt12724622","Anelka: Misunderstood",2020,"Non-Adult",64,53
"tt12752158","Terror at Bigfoot Pond",2020,"Adult",13,34
"tt12757438","Smiley Face Killers",2020,"Adult",37,43
"tt12766708","Deep in Vogue",2019,"Adult",65,42
"tt12792418","Night in Paradise",2020,"Non-Adult",68,60
"tt12824834","Jennifer Aniston: More Than Friends",2020,"Non-Adult",48,40
"tt12838350","The Assistant",2020,"Adult",47,66
"tt1285009","The Strangers: Prey at Night",2018,"Adult",53,64
"tt12888462","My Octopus Teacher",2020,"Non-Adult",81,83
"tt1289401","Ghostbusters",2016,"Non-Adult",68,78
"tt12981810","Finding Jesus",2020,"Non-Adult",13,36
"tt12982218","GIMS: On the Record",2020,"Adult",68,41
"tt1298644","The Hustle",2019,"Non-Adult",55,67
"tt12987894","American Murder: The Family Next Door",2020,"Adult",72,68
"tt13009186","The Boy from Medellín",2020,"Adult",61,53
"tt1302006","The Irishman",2019,"Adult",78,98
"tt13033280","Space Dogs: Tropical Adventure",2020,"Non-Adult",43,42
"tt13055780","A California Christmas",2020,"Non-Adult",59,57
"tt13065386","Totally Under Control",2020,"Non-Adult",76,64
"tt13081264","Story of Kale: When Someone's in Love",2020,"Adult",63,44
"tt1308728","The Happytime Murders",2018,"Adult",55,64
"tt13106900","All Because of You",2020,"Non-Adult",41,41
"tt13143964","Borat Subsequent Moviefilm",2020,"Adult",66,88
"tt13150630","Secrets of the Saqqara Tomb",2020,"Non-Adult",72,60
"tt13179918","Meteor Moon",2020,"Non-Adult",24,42
"tt13206564","The Three Deaths of Marisela Escobedo",2020,"Adult",81,62
"tt13236566","Operation Christmas Drop",2020,"Non-Adult",59,62
"tt13237174","The Real Right Stuff",2020,"Non-Adult",72,54
"tt13276386","Shawn Mendes: In Wonder",2020,"Adult",65,49
"tt13279528","What We Wanted",2020,"Adult",59,51
"tt13290168","High School Musical: The Musical: The Holiday Special",2020,"Non-Adult",56,45
"tt13292206","Bobbleheads: The Movie",2020,"Non-Adult",23,38
"tt13318052","Midnight at the Magnolia",2020,"Non-Adult",58,52
"tt13410288","The Decline",2020,"Adult",64,58
"tt13528990","Shawn Mendes: Live in Concert",2020,"Non-Adult",73,47
"tt1365050","Beasts of No Nation",2015,"Adult",77,74
"tt13723064","All My Friends Are Dead",2020,"Adult",59,57
"tt1386691","Shimmer Lake",2017,"Adult",63,61
"tt1464763","Mute",2018,"Adult",55,64
"tt1480285","Abattoir",2016,"Adult",45,54
"tt1485796","The Greatest Showman",2017,"Non-Adult",75,82
"tt1488606","Triple Frontier",2019,"Adult",65,72
"tt1489887","Booksmart",2019,"Adult",71,78
"tt1507002","Bottom of the 9th",2019,"Adult",57,50
"tt1536537","What Happened to Monday",2017,"Adult",68,86
"tt1540011","Blair Witch",2016,"Adult",50,64
"tt1542768","True Memoirs of an International Assassin",2016,"Non-Adult",59,61
"tt1544608","Voice from the Stone",2017,"Adult",52,59
"tt1545304","Desperados",2020,"Adult",52,57
"tt1552211","The Last Days of American Crime",2020,"Adult",38,46
"tt1588878","The Late Bloomer",2016,"Adult",52,58
"tt1617661","Jupiter Ascending",2015,"Non-Adult",53,71
"tt1618434","Murder Mystery",2019,"Non-Adult",61,76
"tt1620680","A Wrinkle in Time",2018,"Non-Adult",43,62
"tt1620981","The Addams Family",2019,"Non-Adult",59,68
"tt3730510","Puerto Ricans in Paris",2015,"Adult",54,50
"tt3732280","When Angels Sleep",2018,"Adult",55,52
"tt3739110","The Yellow Birds",2017,"Adult",58,56
"tt3746298","Vendetta",2015,"Adult",47,51
"tt3746824","Sheep & Wolves",2016,"Non-Adult",58,55
"tt3748172","Gerald's Game",2017,"Adult",65,88
"tt3748440","Blue Mountain State: The Rise of Thadland",2016,"Adult",57,58
"tt3748528","Rogue One: A Star Wars Story",2016,"Non-Adult",78,85
"tt3755362","Rendez-Vous",2015,"Non-Adult",56,58
"tt3758172","Jungle",2017,"Adult",67,74
"tt3766394","Hello, My Name Is Doris",2015,"Adult",66,65
"tt3767278","Bayou Caviar",2018,"Adult",46,49
"tt3771536","Shivaay",2016,"Non-Adult",61,60
"tt3774114","Snowden",2016,"Adult",73,78
"tt3774466","Ashby",2015,"Adult",64,62
"tt3776826","Operation Avalanche",2016,"Adult",61,60
"tt3778354","Bear with Us",2016,"Adult",67,44
"tt3778644","Solo: A Star Wars Story",2018,"Non-Adult",69,79
"tt3780500","Journey's End",2017,"Adult",67,62
"tt3799232","The Kissing Booth",2018,"Non-Adult",59,73
"tt3799694","The Nice Guys",2016,"Adult",74,81
"tt3802576","Brothers",2015,"Non-Adult",64,54
"tt3804756","Mothers of the Bride",2015,"Non-Adult",50,39
"tt3813310","Cop Car",2015,"Adult",63,65
"tt3824412","Results",2015,"Adult",55,56
"tt3829378","Stephanie",2017,"Adult",58,59
"tt3833474","Never Let Go",2015,"Adult",53,47
"tt3833480","The Outpost",2019,"Adult",68,71
"tt3835080","31",2016,"Adult",51,64
"tt3846674","To All the Boys I've Loved Before",2018,"Non-Adult",70,94
"tt3859272","Tragedy Girls",2017,"Adult",60,62
"tt3860092","Everything About Her",2016,"Non-Adult",73,52
"tt3864056","The Goldfinch",2019,"Adult",64,67
"tt3892172","Leave No Trace",2018,"Non-Adult",71,76
"tt3896102","Tad, the Lost Explorer, and the Secret of King Midas",2017,"Non-Adult",62,57
"tt3896198","Guardians of the Galaxy Vol. 2",2017,"Non-Adult",76,85
"tt3907584","All the Bright Places",2020,"Adult",66,67
"tt3957956","12 Rounds 3: Lockdown",2015,"Adult",51,56
"tt3962984","The Black Prince",2017,"Non-Adult",57,55
"tt3963816","Marauders",2016,"Adult",55,64
"tt3967856","Okja",2017,"Non-Adult",73,92
"tt3967878","Illang: The Wolf Brigade",2018,"Adult",60,60
"tt3972110","The Assault",2017,"Adult",36,38
"tt3977462","Full Out",2015,"Non-Adult",63,60
"tt3979300","Magic Camp",2020,"Non-Adult",63,59
"tt3993886","All Day and a Night",2020,"Adult",60,64
"tt4000956","Brother Nature",2016,"Adult",49,48
"tt4002772","Once I Was a Beehive",2015,"Non-Adult",62,53
"tt4003440","The House That Jack Built",2018,"Adult",68,73
"tt4007558","Shaandaar",2015,"Non-Adult",37,45
"tt4008566","The Influence",2019,"Adult",46,46
"tt4016934","The Handmaiden",2016,"Adult",81,81
"tt4019560","Exposed",2016,"Adult",44,57
"tt4034208","The Next Skin",2016,"Adult",61,49
"tt4034228","Manchester by the Sea",2016,"Adult",78,81
"tt4034452","Hyena Road",2015,"Adult",65,61
"tt4052050","He's Out There",2018,"Adult",53,58
"tt4068576","The Nightingale",2018,"Adult",73,71
"tt4072296","Ruta Madre",2019,"Non-Adult",46,40
"tt4083572","Urge",2016,"Adult",43,54
"tt4086018","Charming",2018,"Non-Adult",56,56
"tt4102722","The Night Watchmen",2017,"Adult",54,54
"tt4106514","The Postcard Killings",2020,"Adult",58,63
"tt4109632","A Million Happy Nows",2017,"Non-Adult",65,49
"tt4110568","Dil Dhadakne Do",2015,"Non-Adult",70,59
"tt4111956","A World Away",2019,"Non-Adult",39,47
"tt4118606","The Curse of Sleeping Beauty",2016,"Non-Adult",43,53
"tt4126304","Cartel Land",2015,"Adult",73,69
"tt4126476","After",2019,"Non-Adult",53,71
"tt4129428","Jagga Jasoos",2017,"Non-Adult",64,71
"tt4136084","Florence Foster Jenkins",2016,"Non-Adult",68,69
"tt4139588","Polar",2019,"Adult",63,73
"tt4144190","Wiener-Dog",2016,"Adult",59,67
"tt4144332","Deidra & Laney Rob a Train",2017,"Non-Adult",60,65
"tt4151192","The Condemned 2",2015,"Adult",42,49
"tt4154664","Captain Marvel",2019,"Non-Adult",67,81
"tt4154756","Avengers: Infinity War",2018,"Non-Adult",84,90
"tt4154796","Avengers: Endgame",2019,"Non-Adult",84,90
"tt4172498","E19 Virus",2017,"Non-Adult",29,39
"tt4174926","Where Love Found Me",2016,"Non-Adult",57,38
"tt4180290","Come Out Fighting",2016,"Adult",76,46
"tt4180560","Otherhood",2019,"Adult",61,65
"tt4181052","Special Correspondents",2016,"Non-Adult",59,56
"tt4191054","Strange Magic",2015,"Non-Adult",58,62
"tt4196848","Mr. Church",2016,"Non-Adult",76,73
"tt4205718","Intersect",2020,"Adult",35,53
"tt4210080","The Confirmation",2016,"Non-Adult",64,59
"tt4213806","Toro",2016,"Non-Adult",59,52
"tt4225622","The Babysitter",2017,"Adult",64,71
"tt4230700","Complete Unknown",2016,"Adult",54,56
"tt4257940","The Lost Husband",2020,"Non-Adult",61,59
"tt4258698","Southside with You",2016,"Non-Adult",63,63
"tt4266076","The Night Eats the World",2018,"Non-Adult",60,65
"tt4267026","Hell House LLC",2015,"Adult",64,65
"tt4269118","Seven in Heaven",2018,"Non-Adult",54,53
"tt4270516","Grandma",2015,"Adult",67,66
"tt4273292","Under the Shadow",2016,"Non-Adult",68,68
"tt4293752","Gascoigne",2015,"Non-Adult",70,56
"tt4296186","An Inspector Calls",2015,"Non-Adult",49,68
"tt4323594","I'm No Longer Here",2019,"Adult",73,61
"tt4327752","Lady Bloodfight",2016,"Adult",56,55
"tt4329242","Love Jacked",2018,"Non-Adult",59,58
"tt4332232","Fractured",2019,"Adult",65,73
"tt4333674","Hunterrr",2015,"Adult",70,57
"tt4338154","Hawaizaada",2015,"Non-Adult",55,46
"tt4341582","Queen of Katwe",2016,"Non-Adult",74,68
"tt4353250","The Last Black Man in San Francisco",2019,"Adult",72,70
"tt4354740","Dharam Sankat Mein",2015,"Non-Adult",63,53
"tt4357394","Tau",2018,"Adult",58,67
"tt4364194","The Peanut Butter Falcon",2019,"Non-Adult",76,78
"tt4379728","Three",2016,"Non-Adult",59,62
"tt4382824","Army of One",2016,"Adult",52,58
"tt4384148","The Underground Sinema",2015,"Adult",42,39
"tt4397342","Cities of Last Things",2018,"Adult",63,52
"tt4400994","The Ballad of Lefty Brown",2017,"Adult",63,60
"tt4411584","The Secret: Dare to Dream",2020,"Non-Adult",66,64
"tt4413338","Abzurdah",2015,"Non-Adult",54,52
"tt4426464","Arctic Dogs",2019,"Non-Adult",49,51
"tt4430136","Pyaar Ka Punchnama 2",2015,"Non-Adult",72,63
"tt4430212","Drishyam",2015,"Adult",82,72
"tt4432804","Last Day of School",2016,"Adult",28,38
"tt4434004","Udta Punjab",2016,"Adult",77,80
"tt4442130","Wild Horses",2015,"Adult",48,53
"tt4454078","Supercon",2018,"Adult",37,45
"tt4464394","The Gracefield Incident",2017,"Non-Adult",42,53
"tt1629242","Careful What You Wish For",2015,"Adult",56,61
"tt16411500","Easter Island Unsolved",2018,"Non-Adult",68,42
"tt1655441","The Age of Adaline",2015,"Non-Adult",72,77
"tt1655461","Wild Oats",2016,"Non-Adult",57,56
"tt1680140","The Stolen",2017,"Non-Adult",54,51
"tt1690967","Come Sunday",2018,"Non-Adult",60,64
"tt1691916","Before I Fall",2017,"Non-Adult",64,71
"tt1694021","Into the Grizzly Maze",2015,"Adult",53,60
"tt1712192","Message from the King",2016,"Adult",64,62
"tt1712261","Triple 9",2016,"Adult",63,70
"tt1714917","Gimme Danger",2016,"Adult",72,62
"tt1720621","Trafficked",2017,"Adult",58,53
"tt1724970","Beyond Skyline",2017,"Adult",53,63
"tt1727770","Absolutely Anything",2015,"Adult",60,67
"tt1727824","Bohemian Rhapsody",2018,"Non-Adult",79,85
"tt1730768","The Zookeeper's Wife",2017,"Non-Adult",70,71
"tt1734493","Unlocked",2017,"Adult",63,69
"tt1754656","The Little Prince",2015,"Non-Adult",76,74
"tt1773753","Mara",2018,"Adult",51,59
"tt1780967","Seberg",2019,"Adult",60,65
"tt1781922","No Escape",2015,"Adult",68,73
"tt1790809","Pirates of the Caribbean: Dead Men Tell No Tales",2017,"Non-Adult",65,78
"tt1799516","Benji",2018,"Non-Adult",64,59
"tt1801552","Gotti",2018,"Adult",48,58
"tt1825683","Black Panther",2018,"Non-Adult",73,84
"tt1830643","Death of Me",2020,"Adult",45,56
"tt1833116","The Informer",2019,"Adult",66,70
"tt1838556","Honest Thief",2020,"Non-Adult",60,72
"tt1841642","Demonic",2015,"Adult",53,61
"tt1860242","The Highwaymen",2019,"Adult",69,73
"tt1878841","The Darkness",2016,"Non-Adult",45,59
"tt1880399","Kodachrome",2017,"Adult",68,67
"tt1918734","2067",2020,"Non-Adult",49,62
"tt1935194","Overdrive",2017,"Non-Adult",54,59
"tt1935859","Miss Peregrine's Home for Peculiar Children",2016,"Non-Adult",67,76
"tt1937340","Beyond Paradise",2015,"Non-Adult",54,44
"tt1949605","Who Gets the Dog?",2016,"Non-Adult",49,50
"tt1950135","Drunk Wedding",2015,"Adult",46,45
"tt1950235","Let It Snow",2019,"Non-Adult",59,73
"tt1961175","American Assassin",2017,"Adult",62,72
"tt1974419","The Neon Demon",2016,"Adult",61,70
"tt1979376","Toy Story 4",2019,"Non-Adult",76,82
"tt1979388","The Good Dinosaur",2015,"Non-Adult",67,75
"tt1999890","Hell Fest",2018,"Adult",55,61
"tt2005151","War Dogs",2016,"Adult",71,79
"tt2006295","The 33",2015,"Non-Adult",69,69
"tt2016335","Walter",2015,"Adult",54,51
"tt2025690","The Finest Hours",2016,"Non-Adult",67,72
"tt2032572","USS Indianapolis: Men of Courage",2016,"Adult",53,63
"tt2057392","Eye in the Sky",2015,"Adult",73,75
"tt2066051","Rocketman",2019,"Adult",73,79
"tt2069797","Delirium",2018,"Adult",57,62
"tt2072233","Sleepless",2017,"Adult",56,67
"tt2076298","Ip Man 4: The Finale",2019,"Non-Adult",70,71
"tt2080374","Steve Jobs",2015,"Adult",72,76
"tt2090465","Black Butterfly",2017,"Adult",61,63
"tt2093991","Elvis & Nixon",2016,"Adult",63,62
"tt2106651","Spectral",2016,"Non-Adult",63,71
"tt2114504","Woody Woodpecker",2017,"Non-Adult",42,52
"tt2126357","Second Act",2018,"Non-Adult",58,66
"tt2140379","Self/less",2015,"Non-Adult",65,73
"tt2197936","Fatima",2020,"Non-Adult",66,57
"tt2224026","Home",2015,"Non-Adult",65,74
"tt2226597","The Mountain Between Us",2017,"Non-Adult",64,72
"tt2235695","Rebecca",2020,"Non-Adult",61,60
