"MOVIEID","TITLE","YEAR","ADULT_FLAG","GENRES","GENRE_COUNT"
"tt11374114","The King",2019,"Adult","Documentary",1
"tt11378154","The App That Stole Christmas",2020,"Non-Adult","Comedy",1
"tt11378264","Mucho Mucho Amor: The Legend of Walter Mercado",2020,"Non-Adult","Biography,Documentary",2
"tt11388406","Horse Girl",2020,"Adult","Drama,Mystery,Thriller",3
"tt11388580","Miss Americana",2020,"Adult","Biography,Documentary,Music",3
"tt11390036","A Fall from Grace",2020,"Adult","Crime,Drama,Mystery",3
"tt11394180","Dick Johnson Is Dead",2020,"Non-Adult","Biography,Documentary,Drama",3
"tt11394184","The Fight",2020,"Non-Adult","Documentary",1
"tt11394338","Giving Voice",2020,"Non-Adult","Documentary",1
"tt11416746","Time",2020,"Non-Adult","Biography,Documentary",2
"tt11426644","We Are Freestyle Love Supreme",2020,"Adult","Comedy,Documentary,Musical",3
"tt11454066","You Cannot Kill David Arquette",2020,"Adult","Documentary,Sport",2
"tt11464826","The Social Dilemma",2020,"Non-Adult","Documentary,Drama",2
"tt11576124","Rogue",2020,"Adult","Action,Horror,Thriller",3
"tt1158939","Never Grow Old",2019,"Adult","Drama,Thriller,Western",3
"tt11640412","#FriendButMarried 2",2020,"Non-Adult","Biography,Comedy,Drama",3
"tt11642302","#cats_the_mewvie",2020,"Non-Adult","Documentary",1
"tt11649910","Forgotten",2017,"Adult","Documentary",1
"tt11651796","AK vs AK",2020,"Adult","Comedy,Crime,Drama",3
"tt11656172","Hard Kill",2020,"Adult","Action,Thriller",2
"tt11681250","Godmothered",2020,"Non-Adult","Comedy,Drama,Family",3
"tt11690838","The Legend of Baron To'a",2020,"Adult","Action,Comedy",2
"tt11697484","The 2nd",2020,"Non-Adult","Action,Drama",2
"tt11749980","Tarung Sarung",2020,"Non-Adult","Action,Adventure,Drama",3
"tt11792734","Leyla Everlasting",2020,"Adult","Comedy",1
"tt11827806","So Much Love to Give",2020,"Non-Adult","Comedy",1
"tt1183374","Pet",2016,"Adult","Crime,Horror,Thriller",3
"tt11835236","Generasi 90an: Melankolia",2020,"Non-Adult","Drama",1
"tt11905462","Athlete A",2020,"Non-Adult","Crime,Documentary,Sport",3
"tt11905962","Sputnik",2020,"Adult","Drama,Horror,Mystery",3
"tt11906032","Picture a Scientist",2020,"Non-Adult","Documentary",1
"tt11958344","A Whisker Away",2020,"Non-Adult","Adventure,Animation,Drama",3
"tt11968072","A Stone in the Water",2019,"Adult","Thriller",1
"tt11988512","One-Way to Tomorrow",2020,"Adult","Comedy,Drama,Romance",3
"tt11990802","Don't Call Me Bigfoot",2020,"Non-Adult","Documentary",1
"tt11994750","Made You Look: A True Story About Fake Art",2020,"Adult","Crime,Documentary",2
"tt12036052","Elephant",2020,"Non-Adult","Adventure,Biography,Documentary",3
"tt12053202","Arendelle Castle Yule Log",2019,"Non-Adult","Animation",1
