"MOVIEID","TITLE","YEAR","ADULT_FLAG","IMDBRATINGS","GROSS"
"tt2543164","Arrival",2016,"Non-Adult",7.9,203388186
"tt2567026","Alice Through the Looking Glass",2016,"Non-Adult",6.2,299457024
"tt2582782","Hell or High Water",2016,"Adult",7.6,37879877
"tt2652118","Crouching Tiger, Hidden Dragon: Sword of Destiny",2016,"Non-Adult",6.1,38659039
"tt2660888","Star Trek Beyond",2016,"Non-Adult",7,343471816
"tt2702920","The Secret Garden",2020,"Non-Adult",5.6,8721243
"tt2752772","Sinister 2",2015,"Adult",5.3,53329150
"tt2788732","Pete's Dragon",2016,"Non-Adult",6.7,143695338
"tt2800050","A Beautiful Planet",2016,"Non-Adult",7.3,25730120
"tt2888046","Ip Man 3",2015,"Non-Adult",7,156954938
"tt2932536","47 Meters Down",2017,"Non-Adult",5.6,62187529
"tt2938956","The Transporter Refueled",2015,"Non-Adult",5.2,72629670
"tt2948356","Zootopia",2016,"Non-Adult",8,1023784195
"tt2948372","Soul",2020,"Non-Adult",8,121903885
"tt3065204","The Conjuring 2",2016,"Adult",7.3,321370008
"tt3077214","Suffragette",2015,"Non-Adult",6.9,31972096
"tt3095734","Monster Trucks",2016,"Non-Adult",5.7,64493915
"tt3316948","American Ultra",2015,"Adult",6.1,27262374
"tt3332064","Pan",2015,"Non-Adult",5.7,128988320
"tt3385516","X-Men: Apocalypse",2016,"Non-Adult",6.8,543934105
"tt3411444","Ferdinand",2017,"Non-Adult",6.7,296069199
"tt3416532","A Monster Calls",2016,"Non-Adult",7.4,47309313
"tt3416828","Ice Age: Collision Course",2016,"Non-Adult",5.7,408579038
"tt3460252","The Hateful Eight",2015,"Adult",7.8,155760117
"tt3498820","Captain America: Civil War",2016,"Non-Adult",7.8,1153296293
"tt3501632","Thor: Ragnarok",2017,"Non-Adult",7.9,853977126
"tt3521126","The Disaster Artist",2017,"Adult",7.3,29820616
"tt3521164","Moana",2016,"Non-Adult",7.6,643331111
"tt3569230","Legend",2015,"Adult",6.9,42972994
"tt3606752","Cars 3",2017,"Non-Adult",6.7,383930656
"tt3606756","Incredibles 2",2018,"Non-Adult",7.5,1242805359
"tt3691740","The BFG",2016,"Non-Adult",6.3,195243411
"tt3715320","Irrational Man",2015,"Adult",6.6,27391084
"tt3722070","The Lady in the Van",2015,"Non-Adult",6.7,41387687
"tt3748528","Rogue One: A Star Wars Story",2016,"Non-Adult",7.8,1056057273
"tt3774114","Snowden",2016,"Adult",7.3,37357216
"tt3778644","Solo: A Star Wars Story",2018,"Non-Adult",6.9,392924807
"tt3799694","The Nice Guys",2016,"Adult",7.4,71261763
"tt3896102","Tad, the Lost Explorer, and the Secret of King Midas",2017,"Non-Adult",6.2,35704046
"tt3896198","Guardians of the Galaxy Vol. 2",2017,"Non-Adult",7.6,863756051
"tt4016934","The Handmaiden",2016,"Adult",8.1,37692886
"tt4034228","Manchester by the Sea",2016,"Adult",7.8,78988148
"tt4126476","After",2019,"Non-Adult",5.3,69497587
"tt4136084","Florence Foster Jenkins",2016,"Non-Adult",6.8,48902953
"tt4154664","Captain Marvel",2019,"Non-Adult",6.7,1128274794
"tt4154756","Avengers: Infinity War",2018,"Non-Adult",8.4,2048359754
"tt4154796","Avengers: Endgame",2019,"Non-Adult",8.4,2799439100
"tt4364194","The Peanut Butter Falcon",2019,"Non-Adult",7.6,23712090
"tt4513674","Café Society",2016,"Non-Adult",6.6,43763247
"tt4520988","Frozen II",2019,"Non-Adult",6.8,1450026933
"tt4535650","Dilwale",2015,"Non-Adult",5.1,31994323
"tt4550098","Nocturnal Animals",2016,"Adult",7.4,30311857
"tt4559006","Ae Dil Hai Mushkil",2016,"Non-Adult",5.9,31668920
"tt4560436","Mile 22",2018,"Adult",6.1,66308758
"tt4575576","Christopher Robin",2018,"Non-Adult",7.2,197744377
"tt4624424","Storks",2016,"Non-Adult",6.8,183679278
"tt4629266","Born in China",2016,"Non-Adult",7.2,25081168
"tt7605074","The Wandering Earth",2019,"Non-Adult",5.9,699856699
"tt7775622","Free Solo",2018,"Non-Adult",8.1,29390279
"tt7946836","Animal World",2018,"Adult",6.4,74922830
"tt8028526","Boonie Bears: The Big Shrink",2018,"Non-Adult",5.8,96845907
"tt8075192","Shoplifters",2018,"Adult",7.9,67999335
"tt8108230","Pokémon the Movie: The Power of Us",2018,"Non-Adult",6.3,23740788
"tt8242084","My Spy",2020,"Non-Adult",6.4,10200000
"tt8333746","Pinocchio",2019,"Non-Adult",6.3,23841090
"tt8364368","Crawl",2019,"Adult",6.1,91542097
"tt8372368","Rocketman",2019,"Adult",6.3,195320400
"tt8633478","Run",2020,"Non-Adult",6.7,5184368
"tt8637428","The Farewell",2019,"Non-Adult",7.5,23076657
"tt8663516","Child's Play",2019,"Adult",5.7,44907074
"tt8772262","Midsommar",2019,"Adult",7.1,47850980
"tt8774798","100% Wolf",2020,"Non-Adult",5.7,9766489
"tt8856470","Pokémon: Mewtwo Strikes Back - Evolution",2019,"Non-Adult",5.7,27347118
"tt8946378","Knives Out",2019,"Non-Adult",7.9,312897920
"tt9086228","Gretel & Hansel",2020,"Non-Adult",5.5,22304357
"tt9204164","Bigfoot Family",2020,"Non-Adult",5.8,10987975
"tt9257932","Animal World",2018,"Adult",6.4,74922830
"tt9537292","Ala Vaikunthapurramuloo",2020,"Non-Adult",7.3,28477890
"tt9779516","I Still Believe",2020,"Non-Adult",6.5,16069730
"tt4669186","Kevin Hart: What Now?",2016,"Adult",6,23591043
"tt4682786","Collateral Beauty",2016,"Non-Adult",6.8,88616021
"tt4685554","The Snow Queen 3: Fire and Ice",2016,"Non-Adult",6,24644317
"tt4686844","The Death of Stalin",2017,"Adult",7.3,24646055
"tt4777008","Maleficent: Mistress of Evil",2019,"Non-Adult",6.6,491730089
"tt4786282","Lights Out",2016,"Non-Adult",6.3,149368835
"tt4824302","Mother's Day",2016,"Non-Adult",5.7,48782670
"tt4844148","Mia and the White Lion",2018,"Non-Adult",6.5,35487190
"tt4846340","Hidden Figures",2016,"Non-Adult",7.8,235956898
"tt4925292","Lady Bird",2017,"Adult",7.4,78965611
"tt4981636","Middle School: The Worst Years of My Life",2016,"Non-Adult",6.1,23316139
"tt5028340","Mary Poppins Returns",2018,"Non-Adult",6.6,349537494
"tt5074352","Dangal",2016,"Non-Adult",8.3,303723636
"tt5095030","Ant-Man and the Wasp",2018,"Non-Adult",7,622674139
"tt5104604","Isle of Dogs",2018,"Non-Adult",7.8,64241499
"tt5215952","The Wailing",2016,"Adult",7.4,49851770
"tt5317732","The Little Prince",2015,"Non-Adult",8,97571250
"tt5323662","A Silent Voice: The Movie",2016,"Non-Adult",8.2,30277098
"tt5439796","Logan Lucky",2017,"Non-Adult",7,48453605
"tt5456546","Judwaa 2",2017,"Non-Adult",3.7,28733523
"tt5462602","The Big Sick",2017,"Adult",7.5,56411585
"tt5478478","Hostiles",2017,"Adult",7.2,35669017
"tt5523010","The Nutcracker and the Four Realms",2018,"Non-Adult",5.6,173961069
"tt5580390","The Shape of Water",2017,"Adult",7.3,195243464
"tt5592248","The Beguiled",2017,"Adult",6.3,27869129
"tt5700672","Train to Busan",2016,"Non-Adult",7.6,92742323
"tt5719700","Home Again",2017,"Non-Adult",5.8,37270721
"tt5727208","Uncut Gems",2019,"Adult",7.4,50023780
"tt5813366","Bleeding Steel",2017,"Adult",5.2,48825526
"tt5848272","Ralph Breaks the Internet",2018,"Non-Adult",7,529323962
"tt5884960","Home",2015,"Non-Adult",8.4,386041607
"tt5956100","Tiger Zinda Hai",2017,"Non-Adult",5.9,87320000
"tt5998744","S Storm",2016,"Non-Adult",5.2,30381402
"tt6003368","Diary of a Wimpy Kid: The Long Haul",2017,"Non-Adult",4.3,40140972
"tt6095472","The Angry Birds Movie 2",2019,"Non-Adult",6.4,147792047
"tt6107548","Late Night",2019,"Adult",6.5,22386555
"tt6189022","Angel Has Fallen",2019,"Adult",6.4,146661977
"tt6193408","A Shaun the Sheep Movie: Farmageddon",2019,"Non-Adult",6.8,43100248
"tt6266538","Vice",2018,"Adult",7.2,76073488
"tt6306064","Adrift",2018,"Non-Adult",6.6,59945012
"tt6317962","Fireworks",2017,"Non-Adult",5.6,25672406
"tt6324278","Abominable",2019,"Non-Adult",7,188623517
"tt6348138","Missing Link",2019,"Non-Adult",6.7,26565710
"tt6394270","Bombshell",2019,"Adult",6.8,61404394
"tt6450804","Terminator: Dark Fate",2019,"Adult",6.2,261119292
"tt6452574","Sanju",2018,"Adult",7.6,76693052
"tt6587640","Trolls World Tour",2020,"Non-Adult",6.1,49276818
"tt6588966","Hichki",2018,"Non-Adult",7.5,26055222
"tt6595896","Pokémon the Movie: I Choose You!",2017,"Non-Adult",6.3,37552144
"tt6751668","Parasite",2019,"Adult",8.5,258098332
"tt6769508","Steel Rain",2017,"Adult",7.1,32783733
"tt6788942","Bad Genius",2017,"Non-Adult",7.6,44560421
"tt6791096","I Feel Pretty",2018,"Non-Adult",5.7,94539426
"tt6811018","The Kid Who Would Be King",2019,"Non-Adult",6.1,32140970
"tt6850820","Peppermint",2018,"Adult",6.5,53918723
"tt6869538","Detective Dee: The Four Heavenly Kings",2018,"Adult",6.3,90040771
"tt6900448","Mirai",2018,"Non-Adult",7,28756961
"tt6910020","Nothing to Lose",2018,"Non-Adult",2.4,36075317
"tt7002100","Coco",2017,"Non-Adult",7.2,807816196
"tt7134096","The Rhythm Section",2020,"Adult",5.4,5989583
"tt7139936","A Rainy Day in New York",2019,"Non-Adult",6.4,23805899
"tt7146812","Onward",2020,"Non-Adult",7.4,141940042
