movie_id,title,year,genres,imdb_rating
tt0062336,The Tango of the Widower and Its Distorting Mirror,2020,Drama,6.4
tt0069049,The Other Side of the Wind,2018,Drama,6.7
tt0093119,Grizzly II: Revenge,2020,"Horror,Music,Thriller",2.7
tt0100275,The Wandering Soap Opera,2017,"Comedy,Drama,Fantasy",6.5
tt0106493,Bugie Rosse,2019,"Horror,Thriller",4.7
tt0112502,Bigfoot,2017,"Horror,Thriller",4.6
tt0116991,Mariette in Ecstasy,2019,Drama,7.1
tt0137204,Joe Finds Grace,2017,"Adventure,Animation,Comedy",8.7
tt0172182,Blood Type,2018,"Comedy,Drama,Mystery",6.7
tt0192528,Heaven & Hell,2018,Drama,3.2
tt0297400,Snowblind,2015,"Crime,Drama",7.0
tt0315642,Wazir,2016,"Action,Crime,Drama",7.1
tt0331314,Bunyan and Babe,2017,"Adventure,Animation,Comedy",4.8
tt0337926,Chatô - The King of Brazil,2016,"Biography,Drama",5.9
tt0339736,The Evil Within,2017,Horror,5.6
tt0360556,Fahrenheit 451,2018,"Drama,Sci-Fi,Thriller",5.0
tt0365545,Nappily Ever After,2018,"Comedy,Drama,Romance",6.4
tt0369610,Jurassic World,2015,"Action,Adventure,Sci-Fi",6.9
tt0376479,American Pastoral,2016,"Crime,Drama,Mystery",6.1
tt0385887,Motherless Brooklyn,2019,"Crime,Drama,Mystery",6.8
tt0420293,The Stanford Prison Experiment,2015,"Biography,Drama,History",6.8
tt0427543,A Million Little Pieces,2018,Drama,6.3
tt0437086,Alita: Battle Angel,2019,"Action,Adventure,Sci-Fi",7.3
tt0438755,About Face: The Story of the Jewish Refugee Soldiers of World War II,2020,Documentary,8.4
tt0441881,Danger Close,2019,"Action,Drama,War",6.8
tt0443533,The History of Love,2016,"Drama,Romance,War",6.3
tt0446792,Surviving in L.A.,2020,"Comedy,Drama,Romance",7.1
tt0448115,Shazam!,2019,"Action,Adventure,Comedy",7.0
tt0451201,Clawed,2017,Horror,2.7
tt0451279,Wonder Woman,2017,"Action,Adventure,Fantasy",7.3
tt0460890,The Only Living Boy in New York,2017,Drama,6.4
tt0462335,High-Rise,2015,"Drama,Sci-Fi",5.5
tt0470936,"Hot Country, Cold Winter",2016,Drama,4.2
tt0475290,"Hail, Caesar!",2016,"Comedy,Drama,Mystery",6.3
tt0478970,Ant-Man,2015,"Action,Comedy,Sci-Fi",7.2
tt0490215,Silence,2016,"Drama,History",7.2
tt0491175,Suburbicon,2017,"Comedy,Crime,Drama",5.8
tt0491203,Tulip Fever,2017,"Drama,History,Romance",6.2
tt0493076,Nina,2016,"Biography,Drama,Music",5.4
tt0493405,CHIPS,2017,"Action,Comedy,Crime",6.0
tt0498381,Rings,2017,"Drama,Horror,Mystery",4.5
tt0770819,She's Out of His Mind,2017,"Comedy,Drama,Fantasy",7.4
tt0775440,Cell,2016,"Action,Adventure,Horror",4.5
