title,year,age,rotten_tomatoes
The Irishman,2019,18+,98
Dangal,2016,7+,97
David Attenborough: A Life on Our Planet,2020,7+,95
Roma,2018,18+,94
To All the Boys I've Loved Before,2018,13+,94
The Social Dilemma,2020,13+,93
Okja,2017,13+,92
The Ballad of Buster Scruggs,2018,16+,92
The Trial of the Chicago 7,2020,18+,92
Article 15,2019,18+,92
"Jim & Andy: The Great Beyond- Featuring a Very Special, Contractually Obligated Mention of Tony Clifton",2017,18+,92
Dolemite Is My Name,2019,18+,92
Mudbound,2017,18+,91
Fyre,2019,18+,91
Miss Americana,2020,18+,90
Talvar,2015,7+,90
The King,2019,18+,90
John Mulaney: Kid Gorgeous at Radio City,2018,18+,89
I Am Mother,2019,13+,89
Tell Me Who I Am,2019,18+,89
Winter on Fire: Ukraine's Fight for Freedom,2015,16+,89
I Lost My Body,2019,18+,89
The Half of It,2020,13+,89
The Boy Who Harnessed the Wind,2019,7+,89
The Devil All the Time,2020,18+,89
The Fundamentals of Caring,2016,18+,89
Pieces of a Woman,2020,18+,88
Gerald's Game,2017,18+,88
Always Be My Maybe,2019,13+,88
Bill Burr: Paper Tiger,2019,18+,87
Kiss the Ground,2020,18+,87
Crip Camp: A Disability Revolution,2020,18+,87
Extraction,2020,18+,87
His House,2020,16+,87
Super Deluxe,2019,18+,87
The Guernsey Literary & Potato Peel Pie Society,2018,16+,87
A Secret Love,2020,18+,87
The Night Comes for Us,2018,18+,87
Pad Man,2018,13+,87
American Factory,2019,13+,86
Bird Box,2018,18+,86
A Shaun the Sheep Movie: Farmageddon,2019,all,86
What Happened to Monday,2017,18+,86
Anthony Jeselnik: Thoughts and Prayers,2015,18+,86
The White Helmets,2016,16+,86
Invader ZIM: Enter the Florpus,2019,7+,86
Happy as Lazzaro,2018,13+,85
Team Foxcatcher,2016,16+,85
The Meyerowitz Stories (New and Selected),2017,18+,85
The Hateful Eight,2015,18+,85
Eurovision Song Contest: The Story of Fire Saga,2020,13+,84
Kapoor & Sons,2016,13+,84
The Perfection,2018,18+,84
Dave Chappelle: Sticks & Stones,2019,18+,84
The Christmas Chronicles,2018,7+,84
Ma Rainey's Black Bottom,2020,18+,84
Calibre,2018,18+,84
Over the Moon,2020,7+,84
1922,2017,18+,84
Paddleton,2019,18+,84
The Ritual,2017,18+,83
The Hater,2020,18+,83
The Edge of Democracy,2019,16+,83
22-Jul,2018,18+,83
Adam Sandler: 100% Fresh,2018,18+,83
A Twelve-Year Night,2018,18+,83
Dumplin',2018,13+,83
Marriage Story,2019,18+,83
