movie_id,title,year,genres,age
tt0069049,The Other Side of the Wind,2018,Drama,18+
tt0315642,Wazir,2016,"Action,Crime,Drama",13+
tt0365545,Nappily Ever After,2018,"Comedy,Drama,Romance",18+
tt0460890,The Only Living Boy in New York,2017,Drama,18+
tt0462335,High-Rise,2015,"Drama,Sci-Fi",18+
tt0475290,"Hail, Caesar!",2016,"Comedy,Drama,Mystery",13+
tt0478970,Ant-Man,2015,"Action,Comedy,Sci-Fi",13+
tt0490215,Silence,2016,"Drama,History",18+
tt0800325,The Dirt,2019,"Biography,Comedy,Drama",18+
tt0810819,The Danish Girl,2015,"Biography,Drama",18+
tt0810836,Dirt Music,2019,"Crime,Drama,Romance",13+
tt0825283,Maximum Ride,2016,"Action,Adventure,Comedy",13+
tt0837156,Pee-wee's Big Holiday,2016,"Comedy,Family",7+
tt0837563,Pet Sematary,2019,"Horror,Mystery,Thriller",18+
tt10003978,Fiddler: A Miracle of Miracles,2019,Documentary,13+
tt10011500,Slay the Dragon,2019,Documentary,13+
tt1002563,The Young Messiah,2016,"Drama,Fantasy",13+
tt10054316,Guest House,2020,Comedy,18+
tt10055028,Dolphin Reef,2018,"Documentary,Family",all
tt10059518,Unhinged,2020,"Action,Thriller",18+
tt10060094,The Knight Before Christmas,2019,"Adventure,Comedy,Drama",7+
tt10065694,Antebellum,2020,"Drama,Horror,Mystery",18+
tt10091530,Holiday Rush,2019,"Comedy,Drama,Family",7+
tt10092752,Earth and Blood,2020,"Action,Drama,Thriller",18+
tt10121762,Uriyadi 2,2019,Thriller,all
tt10127562,Dragon Quest: Your Story,2019,"Action,Adventure,Animation",7+
tt10127684,Rogue City,2020,"Action,Crime,Drama",13+
tt10147546,Homecoming: A Film by Beyoncé,2019,"Documentary,Music",13+
tt10156112,"Hello, Love, Goodbye",2019,"Drama,Romance",7+
tt10161886,The Prom,2020,"Comedy,Drama,Musical",13+
tt10165624,Christmas Coupon,2019,"Comedy,Family,Romance",all
tt10181594,Uncle Naji in UAE,2019,"Comedy,Horror",13+
tt10183816,Dangerous Lies,2020,"Crime,Mystery,Thriller",16+
tt10199586,Atlantics,2019,"Drama,Fantasy,Mystery",13+
tt10199914,The Boys in the Band,2020,Drama,18+
tt10229846,Rolling Stone: Life and Death of Brian Jones,2019,"Documentary,Music",13+
tt10230422,Class of '83,2020,"Crime,Drama,Thriller",16+
tt10230436,Yeh Ballet,2020,"Drama,Musical",13+
tt10230492,Still Today,2020,"Comedy,Romance",16+
tt10235600,Kaali Khuhi,2020,"Drama,Horror,Mystery",16+
tt10243992,I'm Your Woman,2020,"Crime,Drama",18+
tt10250750,Boonie Bears: Blast Into the Past,2019,"Adventure,Animation,Fantasy",7+
tt1025100,Gemini Man,2019,"Action,Sci-Fi,Thriller",13+
tt10253466,Badland,2019,"Drama,Western",13+
tt10255320,Deviant Love,2019,Thriller,16+
tt10276114,Rapid Response,2019,"Documentary,Sport",13+
tt10276470,Work It,2020,"Comedy,Music",16+
tt10288566,Another Round,2020,"Comedy,Drama",18+
tt10289996,The Black Godfather,2019,"Biography,Documentary",18+
tt10303324,Survive the Night,2020,"Action,Drama,Thriller",18+
tt10307440,The Decline,2020,"Action,Thriller",18+
tt10308928,Force of Nature,2020,"Action,Adventure,Crime",18+
tt10324122,Secret Society of Second Born Royals,2020,"Action,Adventure,Comedy",7+
tt10324144,Article 15,2019,"Crime,Drama,Mystery",18+
tt1034385,Cold Skin,2017,"Action,Fantasy,Horror",16+
tt1034415,Suspiria,2018,"Drama,Fantasy,Horror",18+
tt10350626,Gunjan Saxena: The Kargil Girl,2020,"Action,Biography,Drama",16+
tt10362466,After We Collided,2020,"Drama,Romance",18+
tt10394738,I Am Greta,2020,"Biography,Documentary",16+
tt10397734,The Set Up,2019,"Crime,Drama",18+
tt10431500,Miracle in Cell No. 7,2019,Drama,16+
tt10456740,Lost Bullet,2020,"Action,Crime,Thriller",18+
tt10477558,Violet Evergarden: Eternity and the Auto Memory Doll,2019,"Animation,Drama,Family",7+
tt10514222,Ma Rainey's Black Bottom,2020,"Drama,Music",18+
tt10525174,Narco Soldiers,2019,"Action,Crime",13+
tt10525672,Silver Skates,2020,"Adventure,Drama,Romance",18+
tt10529644,Copper Bill,2020,Thriller,7+
tt10539608,The Midnight Sky,2020,"Adventure,Drama,Sci-Fi",13+
tt10579992,Mister America,2019,Comedy,18+
tt10589914,The Forest of Love,2019,"Crime,Drama,Horror",18+
tt10600398,We Can Be Heroes,2020,"Action,Animation,Comedy",7+
tt10618286,Mank,2020,"Biography,Drama",18+
tt10627584,The Life Ahead,2020,Drama,13+
tt10637682,The Panti Sisters,2019,Comedy,13+
tt10642834,The Forty-Year-Old Version,2020,"Comedy,Drama",18+
tt10649016,Safety,2020,"Biography,Drama,Sport",7+
tt10682266,Hubie Halloween,2020,"Comedy,Horror,Mystery",13+
tt1070874,The Trial of the Chicago 7,2020,"Drama,History,Thriller",18+
tt10709060,Game Over,2019,"Action,Crime,Horror",13+
tt10711654,Most Likely to Succeed,2019,Documentary,16+
tt10714856,Feel the Beat,2020,"Comedy,Drama,Family",all
tt10715194,Back to School,2019,Comedy,18+
tt1072748,Winchester,2018,"Biography,Fantasy,Horror",13+
tt10728764,Nobody Knows I'm Here,2020,"Drama,Music",18+
tt10731386,Audrey,2020,"Biography,Documentary,History",16+
tt10773090,Sarileru Neekevvaru,2020,"Action,Comedy,Drama",13+
tt10773114,One Day We'll Talk About Today,2020,Drama,all
tt10798660,Wish Upon a Unicorn,2020,"Adventure,Family,Fantasy",7+
tt10816484,18 Presents,2020,"Drama,Family,Fantasy",18+
tt10845262,Miracle in Cell No. 7,2019,"Comedy,Drama",16+
tt10851618,Rising Phoenix,2020,"Documentary,Sport",13+
tt10856726,Travis Scott: Look Mom I Can Fly,2019,"Documentary,Music",18+
tt1086064,Bill & Ted Face the Music,2020,"Adventure,Comedy,Music",7+
tt10883004,"Bikram: Yogi, Guru, Predator",2019,"Crime,Documentary",18+
tt10886166,365 Days,2020,"Drama,Romance",18+
tt10895610,Float,2019,Documentary,7+
tt10915286,Tell Me Who I Am,2019,"Documentary,Drama,Mystery",18+
tt10920190,Righteous Villains,2020,"Crime,Thriller",18+
tt10933680,Debt Collectors,2020,"Action,Comedy",18+
tt10941528,Under the Riccione Sun,2020,"Comedy,Drama,Romance",18+
tt10958282,Street Flow,2019,"Crime,Drama",18+
tt10994688,The Binge,2020,Comedy,18+
tt11010144,Seriously Single,2020,"Comedy,Romance",18+
tt11044122,Never Surrender: A Galaxy Quest Documentary,2019,Documentary,13+
tt11057594,Fatal Affair,2020,"Crime,Horror,Mystery",16+
tt11057644,The Christmas Chronicles: Part Two,2020,"Adventure,Comedy,Family",7+
tt11057912,Tuna Girl,2019,"Comedy,Drama",7+
tt11101550,Tales of Found Footage,2019,Horror,18+
tt11127690,The Paramedic,2020,"Crime,Drama,Thriller",18+
tt11156614,Dead Kids,2019,"Drama,Thriller",18+
tt11161474,Pieces of a Woman,2020,Drama,18+
tt11199410,The Princess Switch: Switched Again,2020,"Comedy,Drama,Family",all
tt1124037,Free State of Jones,2016,"Action,Biography,Drama",18+
tt11240506,Nobody Sleeps in the Woods Tonight,2020,"Comedy,Fantasy,Horror",18+
tt11242218,Books of Blood,2020,"Drama,Horror,Mystery",18+
tt11276598,Pets United,2019,"Adventure,Animation,Comedy",7+
tt11284280,Cadaver,2020,"Drama,Horror,Thriller",18+
tt11327514,Uncle Frank,2020,"Comedy,Drama",18+
tt11378154,The App That Stole Christmas,2020,Comedy,7+
