movie_id,imdb_rating,rotten_tomatoes
tt0069049,6.7,61
tt0315642,7.1,59
tt0365545,6.4,74
tt0460890,6.4,63
tt0462335,5.5,67
tt0475290,6.3,72
tt0478970,7.2,84
tt0490215,7.2,77
tt0800325,7.0,79
tt0810819,7.1,75
tt0810836,5.4,48
tt0825283,3.6,50
tt0837156,6.1,73
tt0837563,5.7,68
tt10003978,7.6,51
tt10011500,7.3,48
tt1002563,5.7,57
tt10054316,4.4,51
tt10055028,7.4,48
tt10059518,6.0,72
tt10060094,5.6,60
tt10065694,5.8,67
tt10091530,5.0,48
tt10092752,5.2,46
tt10121762,7.0,49
tt10127562,6.5,60
tt10127684,6.1,60
tt10147546,7.6,71
tt10156112,7.3,58
tt10161886,5.9,65
tt10165624,3.4,40
tt10181594,5.3,38
tt10183816,5.4,60
tt10199586,6.7,79
tt10199914,6.8,64
tt10229846,6.2,43
tt10230422,5.8,53
tt10230436,7.5,53
tt10230492,5.5,42
tt10235600,3.7,39
tt10243992,6.2,65
tt10250750,5.6,44
tt1025100,5.7,73
tt10253466,5.6,54
tt10255320,3.6,43
tt10276114,8.1,46
tt10276470,6.1,62
tt10288566,7.7,80
tt10289996,7.5,57
tt10303324,4.0,54
tt10307440,6.0,58
tt10308928,4.6,58
tt10324122,5.1,60
tt10324144,8.1,92
tt1034385,6.0,63
tt1034415,6.7,73
tt10350626,5.6,65
tt10362466,5.1,68
tt10394738,7.5,63
tt10397734,4.2,37
tt10431500,8.2,77
tt10456740,6.4,73
tt10477558,7.5,63
tt10514222,6.9,84
tt10525174,4.0,38
tt10525672,7.1,62
tt10529644,3.7,42
tt10539608,5.7,71
tt10579992,6.4,53
tt10589914,6.2,69
tt10600398,4.7,54
tt10618286,6.8,74
tt10627584,6.8,82
tt10637682,5.7,46
tt10642834,7.2,64
tt10649016,6.8,61
tt10682266,5.3,63
tt1070874,7.7,92
tt10709060,6.1,74
tt10711654,7.0,47
tt10714856,6.3,62
tt10715194,5.3,49
tt1072748,5.5,65
tt10728764,6.5,74
tt10731386,7.1,61
tt10773090,5.8,56
tt10773114,7.3,53
tt10798660,5.3,47
tt10816484,6.9,67
tt10845262,7.5,77
tt10851618,8.1,67
tt10856726,6.3,55
tt1086064,5.9,72
tt10883004,6.7,75
tt10886166,3.3,59
tt10895610,6.9,60
tt10915286,7.6,89
tt10920190,3.3,40
tt10933680,5.8,56
tt10941528,5.6,49
tt10958282,6.4,42
tt10994688,5.3,62
tt11010144,4.6,50
tt11044122,7.7,61
tt11057594,4.6,46
tt11057644,6.0,64
tt11057912,6.2,41
tt11101550,3.6,38
tt11127690,5.7,62
tt11156614,5.4,49
tt11161474,7.0,88
tt11199410,5.5,57
tt1124037,6.9,72
tt11240506,4.9,59
tt11242218,5.6,60
tt11276598,3.7,50
tt11284280,5.2,56
tt11327514,7.3,69
tt11378154,2.7,39
tt11378264,7.3,58
tt11388406,6.0,72
tt11388580,7.4,90
tt11390036,5.9,60
tt11394180,7.4,64
tt11394184,6.8,58
tt11394338,7.0,68
tt11416746,6.8,73
tt11426644,7.0,64
tt11454066,7.1,59
tt11464826,7.6,93
tt11576124,4.2,57
tt1158939,6.0,58
tt11640412,6.8,47
tt11642302,5.3,46
tt11649910,8.0,70
tt11651796,6.9,60
tt11656172,3.1,53
tt11681250,6.1,63
tt11690838,6.4,46
tt11697484,3.9,52
tt11749980,5.9,46
tt11792734,3.7,45
tt11827806,5.3,47
tt1183374,5.7,62
tt11835236,5.5,41
tt11905462,7.6,67
tt11905962,6.4,70
tt11906032,7.8,49
tt11916302,8.2,67
tt11958344,6.7,81
tt11968072,4.0,42
tt11988512,5.6,53
tt11990802,5.6,43
tt11994750,7.0,57
tt12036052,7.3,54
tt12053202,4.7,38
tt1206885,6.1,73
tt12100044,7.1,45
tt12108272,6.1,57
tt12116846,4.6,55
tt1211837,7.5,85
tt12139700,5.5,51
tt12187586,7.3,53
tt12215286,5.2,45
tt1226837,7.4,87
tt12282598,5.6,50
tt12298506,6.2,61
tt1230168,6.6,64
tt12323842,6.4,43
tt1235187,6.6,59
tt1239242,6.0,50
tt12393526,6.6,63
tt12517908,3.4,39
tt12538822,6.9,74
tt12588398,5.7,36
tt12607910,6.0,79
tt1266036,5.5,57
tt12660966,6.6,48
tt12690910,6.5,41
tt12724622,6.4,53
tt12752158,1.3,34
tt12757438,3.7,43
tt12766708,6.5,42
tt12792418,6.8,60
tt12824834,4.8,40
tt12838350,4.7,66
tt1285009,5.3,64
tt12888462,8.1,83
tt1289401,6.8,78
tt12981810,1.3,36
tt12982218,6.8,41
tt1298644,5.5,67
tt12987894,7.2,68
tt13009186,6.1,53
tt1302006,7.8,98
tt13033280,4.3,42
tt13055780,5.9,57
tt13058290,7.3,63
tt13065386,7.6,64
tt13081264,6.3,44
tt1308728,5.5,64
tt13106900,4.1,41
tt13143964,6.6,88
tt13150630,7.2,60
tt13179918,2.4,42
tt13206564,8.1,62
tt13236566,5.9,62
tt13237174,7.2,54
tt13276386,6.5,49
tt13279528,5.9,51
tt13290168,5.6,45
tt13292206,2.4,38
tt13318052,5.8,52
tt13410288,6.4,58
tt13528990,7.3,47
tt1365050,7.7,74
tt13723064,5.9,57
tt1386691,6.3,61
tt1464763,5.5,64
tt1480285,4.5,54
tt1485796,7.5,82
tt1488606,6.5,72
tt1489887,7.1,78
tt1507002,5.7,50
tt1536537,6.8,86
tt1540011,5.0,64
tt1542768,5.9,61
tt1544608,5.2,59
tt1545304,5.2,57
tt1552211,3.8,46
tt1588878,5.2,58
tt1617661,5.3,71
tt1618434,6.1,76
tt1620680,4.3,62
tt1620981,5.9,68
tt1629242,5.6,61
tt1655441,7.2,77
tt1655461,5.7,56
